pair,window,d4_oos_pnl,d4_oos_n,d4_oos_w,full_3d_pnl,full_3d_n,full_3d_w
SLEEP_POD:POLYESTER-COTTON,3000,16220.0,8,7,39710.0,24,20
SLEEP_POD:POLYESTER-COTTON,5000,11085.0,5,4,22980.0,13,10
SLEEP_POD:POLYESTER-COTTON,8000,7700.0,3,3,21150.0,8,7
SNACKPACK:PISTACHIO-RASPBERRY,200,9350.0,86,61,22680.0,261,189
SNACKPACK:PISTACHIO-RASPBERRY,500,13220.0,43,34,27235.0,123,96
SNACKPACK:PISTACHIO-RASPBERRY,1000,11280.0,24,19,27780.0,65,49
SNACKPACK:PISTACHIO-RASPBERRY,2000,7845.0,10,7,38620.0,33,29
SNACKPACK:PISTACHIO-RASPBERRY,3000,6035.0,6,6,32990.0,24,23
SNACKPACK:PISTACHIO-RASPBERRY,5000,1295.0,4,3,26880.0,16,15
SNACKPACK:PISTACHIO-RASPBERRY,8000,5655.0,5,4,24170.0,13,12
PEBBLES:XS-S,200,14970.0,86,61,810.0,244,171
PEBBLES:XS-S,500,30200.0,46,39,24605.0,108,80
PEBBLES:XS-S,1000,29715.0,28,24,49035.0,62,48
PEBBLES:XS-S,2000,27270.0,17,16,37325.0,32,26
PEBBLES:XS-S,3000,30455.0,14,14,46020.0,27,23
PEBBLES:XS-S,5000,22840.0,8,7,47095.0,17,15
PEBBLES:XS-S,8000,19625.0,5,5,17815.0,8,7
PANEL:1X2-2X4,200,9425.0,89,65,-11375.0,236,153
PANEL:1X2-2X4,500,7515.0,42,32,30970.0,114,88
PANEL:1X2-2X4,1000,24360.0,31,25,32415.0,69,56
PANEL:1X2-2X4,2000,29865.0,19,18,35430.0,40,33
PANEL:1X2-2X4,3000,26740.0,15,15,25305.0,25,22
PANEL:1X2-2X4,5000,17610.0,9,9,19980.0,14,13
PANEL:1X2-2X4,8000,17790.0,7,7,17095.0,9,8
TRANSLATOR:ASTRO_BLACK-GRAPHITE_MIST,200,585.0,78,54,23850.0,250,178
TRANSLATOR:ASTRO_BLACK-GRAPHITE_MIST,500,7265.0,40,31,58075.0,133,112
TRANSLATOR:ASTRO_BLACK-GRAPHITE_MIST,1000,9170.0,22,15,46330.0,77,64
TRANSLATOR:ASTRO_BLACK-GRAPHITE_MIST,2000,7590.0,11,9,34015.0,42,37
TRANSLATOR:ASTRO_BLACK-GRAPHITE_MIST,3000,8200.0,9,8,25505.0,31,28
TRANSLATOR:ASTRO_BLACK-GRAPHITE_MIST,5000,6295.0,4,3,8150.0,14,11
TRANSLATOR:ASTRO_BLACK-GRAPHITE_MIST,8000,9090.0,3,3,-4460.0,6,5
MICROCHIP:SQUARE-TRIANGLE,200,16590.0,88,66,-37775.0,230,165
MICROCHIP:SQUARE-TRIANGLE,500,2280.0,36,27,-30800.0,99,69
MICROCHIP:SQUARE-TRIANGLE,1000,-6775.0,17,11,-5955.0,54,36
MICROCHIP:SQUARE-TRIANGLE,2000,10570.0,8,5,28640.0,27,21
MICROCHIP:SQUARE-TRIANGLE,3000,35990.0,8,6,41705.0,20,15
MICROCHIP:SQUARE-TRIANGLE,5000,33030.0,6,6,5785.0,10,8
MICROCHIP:SQUARE-TRIANGLE,8000,15690.0,3,3,-14265.0,5,4
