module,window,z_score,min_history,day2_pnl,day3_pnl,day4_pnl,total_pnl,trades,win_rate
SnackpackModule,200,2.0,50,-7907,-4745,-2765,-15417,124,0.5868421052631579
SnackpackModule,200,2.5,50,4900,-5995,-540,-1635,78,0.6666666666666666
SnackpackModule,200,3.0,50,5990,-4425,2935,4500,47,0.6
MicrochipOvalTriModule,50,1.0,12,3715,1163,-1354,3524,562,0.3787991104521868
MicrochipOvalTriModule,50,1.5,12,4163,-410,1420,5173,382,0.48645720476706394
MicrochipOvalTriModule,50,2.0,12,2931,-740,-674,1517,247,0.39373970345963755
MicrochipOvalTriModule,50,2.5,12,1304,3376,-21,4659,198,0.4083885209713024
MicrochipOvalTriModule,50,3.0,12,7121,3144,-3506,6759,87,0.4166666666666667
MicrochipOvalTriModule,75,1.0,18,3981,-1736,-731,1514,369,0.398876404494382
MicrochipOvalTriModule,75,1.5,18,7930,448,658,9036,316,0.4153225806451613
MicrochipOvalTriModule,75,2.0,18,5744,4865,-121,10488,224,0.41082164328657317
MicrochipOvalTriModule,75,2.5,18,3505,6351,-626,9230,168,0.43765903307888043
MicrochipOvalTriModule,75,3.0,18,1936,4174,-4062,2048,67,0.41911764705882354
MicrochipOvalTriModule,100,1.0,25,7300,-3880,-1911,1509,304,0.461118690313779
MicrochipOvalTriModule,100,1.5,25,8815,-2142,-97,6576,256,0.43781942078364566
MicrochipOvalTriModule,100,2.0,25,3474,-1566,-4352,-2444,140,0.546031746031746
MicrochipOvalTriModule,100,2.5,25,6001,282,-904,5379,125,0.4855072463768116
MicrochipOvalTriModule,100,3.0,25,3446,4582,-2898,5130,73,0.5741935483870968
MicrochipOvalTriModule,150,1.0,37,8569,291,-4724,4136,244,0.384070796460177
MicrochipOvalTriModule,150,1.5,37,2400,-8265,-4832,-10697,127,0.5633802816901409
MicrochipOvalTriModule,150,2.0,37,-2750,-6481,-3110,-12341,84,0.45977011494252873
MicrochipOvalTriModule,150,2.5,37,-564,-688,4230,2978,86,0.2849162011173184
MicrochipOvalTriModule,150,3.0,37,-3699,4268,8648,9217,34,0.589041095890411
MicrochipOvalTriModule,200,1.0,50,2446,-1812,-5749,-5115,178,0.3292079207920792
MicrochipOvalTriModule,200,1.5,50,1071,-4934,-5580,-9443,102,0.32751091703056767
MicrochipOvalTriModule,200,2.0,50,-2013,-3890,-3493,-9396,68,0.3691275167785235
MicrochipOvalTriModule,200,2.5,50,-5310,1865,2038,-1407,61,0.4098360655737705
MicrochipOvalTriModule,200,3.0,50,-4926,6258,7107,8439,42,0.42168674698795183
RobotVacLauModule,50,1.0,12,-2263,818,-4056,-5501,429,0.5012919896640827
RobotVacLauModule,50,1.5,12,-4713,2254,-3104,-5563,297,0.43405889884763127
RobotVacLauModule,50,2.0,12,-7111,1857,-1099,-6353,237,0.47386172006745364
RobotVacLauModule,50,2.5,12,-9061,322,-2756,-11495,138,0.4881656804733728
RobotVacLauModule,50,3.0,12,-7547,-1642,-3546,-12735,63,0.5648854961832062
RobotVacLauModule,75,1.0,18,-5773,1004,-2507,-7276,284,0.42318059299191374
RobotVacLauModule,75,1.5,18,-5596,1907,-3741,-7430,211,0.5511811023622047
RobotVacLauModule,75,2.0,18,-5965,383,-2766,-8348,137,0.4339080459770115
RobotVacLauModule,75,2.5,18,-6588,-1778,-389,-8755,104,0.3603238866396761
RobotVacLauModule,75,3.0,18,-6877,-1466,-1647,-9990,55,0.7372881355932204
RobotVacLauModule,100,1.0,25,-5360,911,-3767,-8216,230,0.4674457429048414
RobotVacLauModule,100,1.5,25,-6231,2044,-3670,-7857,148,0.47956403269754766
RobotVacLauModule,100,2.0,25,-6218,-1686,300,-7604,111,0.43859649122807015
RobotVacLauModule,100,2.5,25,-7020,-8056,-1004,-16080,53,0.40707964601769914
RobotVacLauModule,100,3.0,25,-5236,-7802,-5542,-18580,25,0.4444444444444444
RobotVacLauModule,150,1.0,37,-6858,-4179,-2294,-13331,106,0.4672131147540984
RobotVacLauModule,150,1.5,37,-7477,-4123,-2267,-13867,78,0.3802083333333333
RobotVacLauModule,150,2.0,37,-6594,-5555,-389,-12538,61,0.44966442953020136
RobotVacLauModule,150,2.5,37,-5657,-8056,-2749,-16462,38,0.2112676056338028
RobotVacLauModule,150,3.0,37,-4309,-7802,-4246,-16357,26,0.34782608695652173
RobotVacLauModule,200,1.0,50,-7519,-6482,-1982,-15983,80,0.40331491712707185
RobotVacLauModule,200,1.5,50,-6314,-7700,-2474,-16488,52,0.33620689655172414
RobotVacLauModule,200,2.0,50,-5407,-7700,-3698,-16805,36,0.5138888888888888
RobotVacLauModule,200,2.5,50,-4496,-5030,-2328,-11854,40,0.3411764705882353
RobotVacLauModule,200,3.0,50,-1694,-2832,-1925,-6451,37,0.3448275862068966
