a,b,cat_a,cat_b,same_cat,spread_std,drift_d2_d4,in_sample_pnl,in_sample_n,oos_d4_pnl,oos_d4_n,oos_d4_w,oos_winrate,robustness
GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK_CHOCOLATE,GALAXY_SOUNDS,SNACKPACK,0,657.5556507743659,585.5,-7975.0,25,-12940.0,7,2,0.2857142857142857,1.6225705329153606
GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK_VANILLA,GALAXY_SOUNDS,SNACKPACK,0,517.1644643416155,-77.5,-8035.0,25,-13940.0,7,2,0.2857142857142857,1.7349097697573117
GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK_PISTACHIO,GALAXY_SOUNDS,SNACKPACK,0,667.174050295971,1134.5,6560.0,31,-5295.0,8,4,0.5,-0.8071646341463414
GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK_STRAWBERRY,GALAXY_SOUNDS,SNACKPACK,0,503.9235093928266,-654.0,-4465.0,23,-4270.0,8,4,0.5,0.9563269876819709
GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK_RASPBERRY,GALAXY_SOUNDS,SNACKPACK,0,550.9231135004744,-53.0,-3510.0,27,-18770.0,7,2,0.2857142857142857,5.0
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_SUEDE,GALAXY_SOUNDS,SLEEP_POD,0,1054.2181646691522,-977.5,-5910.0,28,2350.0,12,8,0.6666666666666666,-0.3976311336717428
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_LAMB_WOOL,GALAXY_SOUNDS,SLEEP_POD,0,677.5141619769531,15.0,-27200.0,21,14955.0,12,9,0.75,-0.5498161764705882
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_POLYESTER,GALAXY_SOUNDS,SLEEP_POD,0,1102.9934538908672,-1146.5,17310.0,30,25005.0,17,14,0.8235294117647058,1.4445407279029463
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_NYLON,GALAXY_SOUNDS,SLEEP_POD,0,797.67600436471,88.5,3540.0,35,16510.0,21,18,0.8571428571428571,4.663841807909605
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_COTTON,GALAXY_SOUNDS,SLEEP_POD,0,1061.6460229270688,-591.0,3435.0,31,1245.0,12,10,0.8333333333333334,0.3624454148471616
GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_CIRCLE,GALAXY_SOUNDS,MICROCHIP,0,694.2931097938101,434.5,-13020.0,25,3010.0,11,8,0.7272727272727273,-0.23118279569892472
GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_OVAL,GALAXY_SOUNDS,MICROCHIP,0,1508.9550650516735,5304.0,-19900.0,18,-16635.0,5,2,0.4,0.8359296482412061
GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_SQUARE,GALAXY_SOUNDS,MICROCHIP,0,1907.7744973692359,-2810.0,3835.0,26,10955.0,11,9,0.8181818181818182,2.8565840938722293
GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_RECTANGLE,GALAXY_SOUNDS,MICROCHIP,0,855.4334884383536,2051.0,-4730.0,27,-2790.0,11,8,0.7272727272727273,0.5898520084566596
GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_TRIANGLE,GALAXY_SOUNDS,MICROCHIP,0,850.9938728937005,2881.5,44590.0,37,20945.0,19,16,0.8421052631578947,0.4697241533976228
GALAXY_SOUNDS_SOLAR_FLAMES,PEBBLES_XS,GALAXY_SOUNDS,PEBBLES,0,1506.3548357155414,4785.0,-1080.0,24,-14095.0,6,3,0.5,5.0
GALAXY_SOUNDS_SOLAR_FLAMES,PEBBLES_S,GALAXY_SOUNDS,PEBBLES,0,910.1740472601923,2756.5,39760.0,38,15630.0,15,12,0.8,0.3931086519114688
GALAXY_SOUNDS_SOLAR_FLAMES,PEBBLES_M,GALAXY_SOUNDS,PEBBLES,0,924.9798443489457,121.0,15995.0,28,11540.0,11,8,0.7272727272727273,0.721475461081588
GALAXY_SOUNDS_SOLAR_FLAMES,PEBBLES_L,GALAXY_SOUNDS,PEBBLES,0,883.8208302194246,1697.0,-17670.0,24,680.0,10,8,0.8,-0.038483305036785515
GALAXY_SOUNDS_SOLAR_FLAMES,PEBBLES_XL,GALAXY_SOUNDS,PEBBLES,0,1758.051829174741,-5245.0,-650.0,28,-1675.0,9,6,0.6666666666666666,2.576923076923077
GALAXY_SOUNDS_SOLAR_FLAMES,ROBOT_VACUUMING,GALAXY_SOUNDS,ROBOT,0,573.0766285803261,2548.0,18180.0,28,6635.0,11,9,0.8181818181818182,0.364961496149615
GALAXY_SOUNDS_SOLAR_FLAMES,ROBOT_MOPPING,GALAXY_SOUNDS,ROBOT,0,1021.5719794276118,-764.5,-4485.0,25,18050.0,14,12,0.8571428571428571,-2.0
GALAXY_SOUNDS_SOLAR_FLAMES,ROBOT_DISHES,GALAXY_SOUNDS,ROBOT,0,757.1108940376084,-377.0,-5095.0,25,60.0,8,6,0.75,-0.011776251226692836
GALAXY_SOUNDS_SOLAR_FLAMES,ROBOT_LAUNDRY,GALAXY_SOUNDS,ROBOT,0,583.9382930869779,1568.5,20445.0,27,630.0,9,6,0.6666666666666666,0.030814380044020543
GALAXY_SOUNDS_SOLAR_FLAMES,ROBOT_IRONING,GALAXY_SOUNDS,ROBOT,0,845.1641642394761,2993.0,-33160.0,22,-7410.0,9,6,0.6666666666666666,0.22346200241254524
GALAXY_SOUNDS_SOLAR_FLAMES,UV_VISOR_YELLOW,GALAXY_SOUNDS,UV_VISOR,0,752.2250917102081,752.0,-9760.0,23,-13350.0,8,5,0.625,1.367827868852459
GALAXY_SOUNDS_SOLAR_FLAMES,UV_VISOR_AMBER,GALAXY_SOUNDS,UV_VISOR,0,1090.2608660525382,3693.0,-14980.0,24,-1570.0,9,6,0.6666666666666666,0.1048064085447263
GALAXY_SOUNDS_SOLAR_FLAMES,UV_VISOR_ORANGE,GALAXY_SOUNDS,UV_VISOR,0,746.2071646468335,1482.5,-125.0,29,85.0,12,8,0.6666666666666666,-0.68
GALAXY_SOUNDS_SOLAR_FLAMES,UV_VISOR_RED,GALAXY_SOUNDS,UV_VISOR,0,781.3714604950194,-899.5,-10305.0,22,3475.0,8,5,0.625,-0.3372149442018438
GALAXY_SOUNDS_SOLAR_FLAMES,UV_VISOR_MAGENTA,GALAXY_SOUNDS,UV_VISOR,0,797.3904957132944,-708.5,-28560.0,20,-9265.0,9,6,0.6666666666666666,0.3244047619047619
GALAXY_SOUNDS_SOLAR_FLAMES,TRANSLATOR_SPACE_GRAY,GALAXY_SOUNDS,TRANSLATOR,0,759.7203948958017,2394.0,-20570.0,22,270.0,8,3,0.375,-0.013125911521633447
