a,b,same_cat,d2_pnl,d2_n,d3_pnl,d3_n,d4_pnl,d4_n,d23_pnl,d23_n
GALAXY_SOUNDS_DARK_MATTER,SNACKPACK_PISTACHIO,0,12330.0,11,9990.0,11,7585.0,11,22320.0,22
GALAXY_SOUNDS_DARK_MATTER,SNACKPACK_STRAWBERRY,0,15740.0,11,4320.0,7,5160.0,9,20060.0,18
GALAXY_SOUNDS_DARK_MATTER,SNACKPACK_RASPBERRY,0,9970.0,9,13930.0,13,5520.0,10,23900.0,22
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,1,2095.0,5,16390.0,10,1690.0,9,18485.0,15
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,1,-3015.0,7,3825.0,11,-6895.0,6,810.0,18
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,1,-5705.0,7,-9455.0,6,195.0,12,-15160.0,13
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_SUEDE,0,10510.0,7,-4310.0,6,1170.0,9,6200.0,13
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_LAMB_WOOL,0,-5090.0,6,10220.0,11,10560.0,14,5130.0,17
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_POLYESTER,0,11175.0,8,18775.0,15,21070.0,14,29950.0,23
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_NYLON,0,-3445.0,4,6790.0,9,-2415.0,11,3345.0,13
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_COTTON,0,5695.0,7,3360.0,8,-3480.0,10,9055.0,15
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_CIRCLE,0,8100.0,7,3445.0,6,13400.0,14,11545.0,13
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_OVAL,0,19365.0,7,7615.0,8,-21420.0,5,26980.0,15
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_SQUARE,0,15580.0,8,-19670.0,6,8230.0,9,-4090.0,14
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_RECTANGLE,0,9580.0,7,12205.0,9,16220.0,12,21785.0,16
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_TRIANGLE,0,19805.0,10,22335.0,10,5785.0,14,42140.0,20
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_XS,0,-11390.0,4,19480.0,15,21790.0,17,8090.0,19
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,0,-5000.0,5,7420.0,11,-550.0,9,2420.0,16
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_M,0,9510.0,7,-5625.0,9,13270.0,15,3885.0,16
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_L,0,-9340.0,7,9260.0,8,10960.0,11,-80.0,15
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_XL,0,25615.0,10,24595.0,11,14835.0,12,50210.0,21
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_VACUUMING,0,1050.0,5,5335.0,8,16030.0,10,6385.0,13
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_MOPPING,0,13450.0,7,-14210.0,4,1745.0,11,-760.0,11
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_DISHES,0,9310.0,6,5780.0,9,10175.0,10,15090.0,15
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_LAUNDRY,0,385.0,7,12185.0,9,-535.0,10,12570.0,16
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_IRONING,0,8465.0,10,9105.0,10,4295.0,12,17570.0,20
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_YELLOW,0,8225.0,8,25155.0,18,-15385.0,10,33380.0,26
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_AMBER,0,-2445.0,4,17745.0,13,2055.0,12,15300.0,17
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_ORANGE,0,8375.0,7,1265.0,10,24625.0,13,9640.0,17
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_RED,0,2525.0,7,5715.0,11,5625.0,10,8240.0,18
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_MAGENTA,0,935.0,6,17190.0,11,7170.0,15,18125.0,17
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_SPACE_GRAY,0,3135.0,6,6435.0,10,-12210.0,8,9570.0,16
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_ASTRO_BLACK,0,9315.0,11,15310.0,9,9070.0,13,24625.0,20
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_ECLIPSE_CHARCOAL,0,11620.0,8,16095.0,11,14920.0,18,27715.0,19
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_GRAPHITE_MIST,0,-8380.0,5,13700.0,12,-14340.0,8,5320.0,17
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_VOID_BLUE,0,12115.0,8,14065.0,10,16955.0,19,26180.0,18
GALAXY_SOUNDS_BLACK_HOLES,PANEL_1X2,0,335.0,6,3745.0,11,10400.0,12,4080.0,17
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X2,0,8425.0,6,4120.0,8,630.0,13,12545.0,14
GALAXY_SOUNDS_BLACK_HOLES,PANEL_1X4,0,18075.0,9,-1500.0,8,-12625.0,6,16575.0,17
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,0,17030.0,8,16445.0,11,4170.0,11,33475.0,19
GALAXY_SOUNDS_BLACK_HOLES,PANEL_4X4,0,7265.0,6,4320.0,7,2060.0,9,11585.0,13
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_MORNING_BREATH,0,5400.0,9,-2645.0,8,11555.0,14,2755.0,17
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_EVENING_BREATH,0,-3705.0,5,1145.0,9,7765.0,11,-2560.0,14
